2700,58.4
6,59.5
4830,54.8
3100,59.8
90,53.8
1540,57.1
1850,61.1
110,55.7
192,61.7
9600,59.3
1490,60.9
56,56.2
2240,57.9
110,52.9
75.6,59.8
1600,56.3
3750,57.8
6,59.4
110,57.8
14300,54.3
880000,52.1
3200,54.5
191,61
110,51.3
110,57
94900,53.6
110,51.7
1470,58.3
12300,53.2
110,60.9
1100,60
110,59.9
83,54.7
200000,57.8
110,57.4
80,54.8
846,60.3
110,59.4
14300,52.6
1450,55.6
1620,61.2
110,54.3
12000,51.9
110,58
161000,56.4
148000,54.8
3640,58.5
8,58.8
173000,60.4
5500,57.7
23,59.9
110,53
8120,58.3
2020,51.4
1200,57.6
1150,60.2
18.6,59
2100,60.8
110,56.1
1950,52.7
1610,53.6
158000,61.7
47.8,52.9
51000,51.9
240,58.9
110,61.6
2330000,59.8
100000,55.1
1410,55.8
319000,60.5
2240,58.9
9000,51.9
2240,58.5
110,52.1
65.6,60.1
110,58.9
1230,52.7
140,54.3
17600,55.5
5,57.8
110,56.2
3570,58.9
66.2,61.2
5250,61.5
3530,51.8
330000,61.3
312,57.8
2240,61.2
2150000,59.4
180,58.8
18200,59
30,62.9
1950,55.2
1560,58.1
10,54.4
1620,57.7
2250,51.9
4700,55
64.4,58.9
162,56.7
200,52.8
9800,52.8
6,58.9
2250,55.1
148000,59.7
5940,59.3
3120,54.5
2250,60.9
1930,57.4
97.5,57.8
460,53.4
2870,55.5
155000,61.5
177000,55.1
1330,57.8
1990,62.3
5820,54.1
335,60.4
6,55.2
135000,56.4
110,54.1
